,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39273921
source,MED
pmid,39273921
pmcid,PMC11397202
fullTextIdList,{'fullTextId': 'PMC11397202'}
doi,10.3390/plants13172437
title,"Landscape, Human Disturbance, and Climate Factors Drive the Species Richness of Alien Invasive Plants on Subtropical Islands."
authorString,"Xie Y, Huang H, Xie X, Ou J, Chen Z, Lu X, Kong D, Nong L, Lin M, Qian Z, Mao Y, Chen Y, Wang Y, Chen Z, Deng C."
authorList,"{'author': [{'fullName': 'Xie Y', 'firstName': 'Yanqiu', 'lastName': 'Xie', 'initials': 'Y', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-4493-2366'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Huang H', 'firstName': 'Hui', 'lastName': 'Huang', 'initials': 'H', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2735-7862'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Architecture and Civil Engineering, Fujian College of Water Conservancy and Electric Power, Sanming 365000, China.'}}}, {'fullName': 'Xie X', 'firstName': 'Xinran', 'lastName': 'Xie', 'initials': 'X', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Ou J', 'firstName': 'Jingyao', 'lastName': 'Ou', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Chen Z', 'firstName': 'Zhen', 'lastName': 'Chen', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Lu X', 'firstName': 'Xiaoxue', 'lastName': 'Lu', 'initials': 'X', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Kong D', 'firstName': 'Deyi', 'lastName': 'Kong', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Nong L', 'firstName': 'Liebo', 'lastName': 'Nong', 'initials': 'L', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Lin M', 'firstName': 'Manni', 'lastName': 'Lin', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Qian Z', 'firstName': 'Zhijun', 'lastName': 'Qian', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Mao Y', 'firstName': 'Yue', 'lastName': 'Mao', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Chen Y', 'firstName': 'Ying', 'lastName': 'Chen', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Wang Y', 'firstName': 'Yingxue', 'lastName': 'Wang', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Chen Z', 'firstName': 'Zujian', 'lastName': 'Chen', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}, {'fullName': 'Deng C', 'firstName': 'Chuanyuan', 'lastName': 'Deng', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Landscape Architecture and Art, Fujian Agriculture and Forestry University, Fuzhou 350100, China.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-4493-2366'}, {'@type': 'ORCID', '#text': '0000-0003-2735-7862'}]}"
journalInfo,"{'issue': '17', 'volume': '13', 'journalIssueId': '3828956', 'dateOfPublication': '2024 Aug', 'monthOfPublication': '8', 'yearOfPublication': '2024', 'printPublicationDate': '2024-08-01', 'journal': {'title': 'Plants (Basel, Switzerland)', 'ISOAbbreviation': 'Plants (Basel)', 'medlineAbbreviation': 'Plants (Basel)', 'NLMid': '101596181', 'ISSN': '2223-7747', 'ESSN': '2223-7747'}}"
pubYear,2024
pageInfo,2437
