,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39009775
source,MED
pmid,39009775
pmcid,PMC11250815
fullTextIdList,{'fullTextId': 'PMC11250815'}
doi,10.1038/s41598-024-67148-w
title,In vitro larvicidal efficacy of Lantana camara essential oil and its nanoemulsion and enzyme inhibition kinetics against Anopheles culicifacies.
authorString,"Sonter S, Dwivedi MK, Mishra S, Singh P, Kumar R, Park S, Jeon BH, Singh PK."
authorList,"{'author': [{'fullName': 'Sonter S', 'firstName': 'Shruti', 'lastName': 'Sonter', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology, Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh, 484887, India.'}}}, {'fullName': 'Dwivedi MK', 'firstName': 'Manish Kumar', 'lastName': 'Dwivedi', 'initials': 'MK', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Biotechnology, Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh, 484887, India.'}, {'affiliation': 'R&D, Hikal Limited, Hinjawadi, Pune, Maharashtra, India.'}]}}, {'fullName': 'Mishra S', 'firstName': 'Shringika', 'lastName': 'Mishra', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology, Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh, 484887, India.'}}}, {'fullName': 'Singh P', 'firstName': 'Prabhakar', 'lastName': 'Singh', 'initials': 'P', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Sophisticated Analytical Instrumentation Facility, Department of Anatomy, All India Institute of Medical Sciences, New Delhi, India.'}}}, {'fullName': 'Kumar R', 'firstName': 'Ramesh', 'lastName': 'Kumar', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Earth Resources and Environmental Engineering, Hanyang University, 222-Wangsimni-ro, Seongdong-gu, Seoul, 04763, Republic of Korea.'}}}, {'fullName': 'Park S', 'firstName': 'Sungmin', 'lastName': 'Park', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Civil and Environmental Engineering, Hanyang University, 222-Wangsimni-ro, Seongdong-gu, Seoul, 04763, Republic of Korea. smpark@gns-eng.com.'}}}, {'fullName': 'Jeon BH', 'firstName': 'Byong-Hun', 'lastName': 'Jeon', 'initials': 'BH', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Earth Resources and Environmental Engineering, Hanyang University, 222-Wangsimni-ro, Seongdong-gu, Seoul, 04763, Republic of Korea. bhjeon@hanyang.ac.kr.'}}}, {'fullName': 'Singh PK', 'firstName': 'Prashant Kumar', 'lastName': 'Singh', 'initials': 'PK', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-6704-277X'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Biotechnology, Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh, 484887, India. prashantcdri@gmail.com.'}, {'affiliation': 'Department of Biochemistry, University of Lucknow, Lucknow, Uttar Pradesh, India. prashantcdri@gmail.com.'}]}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-4393-3535'}, {'@type': 'ORCID', '#text': '0000-0002-6704-277X'}]}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': '1', 'volume': '14', 'journalIssueId': '3793029', 'dateOfPublication': '2024 Jul', 'monthOfPublication': '7', 'yearOfPublication': '2024', 'printPublicationDate': '2024-07-01', 'journal': {'title': 'Scientific reports', 'ISOAbbreviation': 'Sci Rep', 'medlineAbbreviation': 'Sci Rep', 'NLMid': '101563288', 'ISSN': '2045-2322', 'ESSN': '2045-2322'}}"
pubYear,2024
pageInfo,16325
abstractText,"Mosquitoes are important vectors for the transmission of several infectious diseases that lead to huge morbidity and mortality. The exhaustive use of synthetic insecticides has led to widespread resistance and environmental pollution. Using essential oils and nano-emulsions as novel insecticides is a promising alternative approach for controlling vector borne diseases. In the current study, Lantana camara EO and NE were evaluated for their larvicidal and pupicidal activities against Anopheles culicifacies. The inhibitory effect of EO and NE on AChE, NSE (α/β), and GST was also evaluated and compared. GC-MS analysis of oil displayed 61 major peaks. The stable nano-emulsion with an observed hydrodynamic diameter of 147.62 nm was formed using the o/w method. The nano-emulsion exhibited good larvicidal (LC50 50.35 ppm and LC90 222.84 ppm) and pupicidal (LC50 54.82 ppm and LC90 174.58 ppm) activities. Biochemical evaluations revealed that LCEO and LCNE inhibited AChE, NSE (α/β), and GST, displaying LCNE to be a potent binder to AChE and NSE enzyme, whereas LCEO showed higher binding potency towards GST. The nano-emulsion provides us with novel opportunities to target different mosquito enzymes with improved insecticidal efficacy. Due to its natural origin, it can be further developed as a safer and more potent larvicide/insecticide capable of combating emerging insecticide resistance."
affiliation,"Department of Biotechnology, Indira Gandhi National Tribal University, Amarkantak, Madhya Pradesh, 484887, India."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
