,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39191818
source,MED
pmid,39191818
pmcid,PMC11350158
fullTextIdList,{'fullTextId': 'PMC11350158'}
doi,10.1038/s41598-024-69449-6
title,"Evaluating larvicidal, ovicidal and growth inhibiting activity of five medicinal plant extracts on Culex pipiens (Diptera: Culicidae), the West Nile virus vector."
authorString,"Baz MM, Selim AM, Radwan IT, Alkhaibari AM, Gattan HS, Alruhaili MH, Alasmari SM, Gad ME."
authorList,"{'author': [{'fullName': 'Baz MM', 'firstName': 'Mohamed M', 'lastName': 'Baz', 'initials': 'MM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Entomology Department, Faculty of Science, Benha University, Benha, 13518, Qalyubiya, Egypt.'}}}, {'fullName': 'Selim AM', 'firstName': 'Abdelfattah M', 'lastName': 'Selim', 'initials': 'AM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Animal Medicine (Infectious Diseases), College of Veterinary Medicine, Benha University, Toukh, 13736, Egypt. Abdelfattah.selim@fvtm.bu.edu.eg.'}}}, {'fullName': 'Radwan IT', 'firstName': 'Ibrahim Taha', 'lastName': 'Radwan', 'initials': 'IT', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Supplementary General Sciences Department, Faculty of Oral and Dental Medicine, Future University in Egypt, Cairo, 11835, Egypt. ibrahim80radwan@hotmail.com.'}}}, {'fullName': 'Alkhaibari AM', 'firstName': 'Abeer Mousa', 'lastName': 'Alkhaibari', 'initials': 'AM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biology, Faculty of Science, University of Tabuk, 71491, Tabuk, Saudi Arabia.'}}}, {'fullName': 'Gattan HS', 'firstName': 'Hattan S', 'lastName': 'Gattan', 'initials': 'HS', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-3514-4912'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Medical Laboratory Sciences, Faculty of Applied Medical Sciences, King Abdulaziz University, Jeddah, Saudi Arabia.'}, {'affiliation': 'Special Infectious Agents Unit, King Fahad Medical Research Center, King AbdulAziz University, Jeddah, Saudi Arabia.'}]}}, {'fullName': 'Alruhaili MH', 'firstName': 'Mohammed H', 'lastName': 'Alruhaili', 'initials': 'MH', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Clinical Microbiology and Immunology, Faculty of Medicine, King AbdulAziz University, Jeddah, Saudi Arabia.'}, {'affiliation': 'Special Infectious Agents Unit, King Fahad Medical Research Center, King AbdulAziz University, Jeddah, Saudi Arabia.'}]}}, {'fullName': 'Alasmari SM', 'firstName': 'Saeed M', 'lastName': 'Alasmari', 'initials': 'SM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biology, Faculty of Science and Arts, Najran University, 1988, Najran, Saudi Arabia.'}}}, {'fullName': 'Gad ME', 'firstName': 'Mohammed E', 'lastName': 'Gad', 'initials': 'ME', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Zoology and Entomology, Faculty of Science, Al Azhar University, Nasr City, 11884, Cairo, Egypt.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0003-3514-4912'}}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': '1', 'volume': '14', 'journalIssueId': '3806397', 'dateOfPublication': '2024 Aug', 'monthOfPublication': '8', 'yearOfPublication': '2024', 'printPublicationDate': '2024-08-01', 'journal': {'title': 'Scientific reports', 'ISOAbbreviation': 'Sci Rep', 'medlineAbbreviation': 'Sci Rep', 'NLMid': '101563288', 'ISSN': '2045-2322', 'ESSN': '2045-2322'}}"
pubYear,2024
pageInfo,19660
