,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39695806
source,MED
pmid,39695806
pmcid,PMC11657694
fullTextIdList,{'fullTextId': 'PMC11657694'}
doi,10.1186/s13002-024-00744-2
title,"Consumption of wild edible plants in the Kofale and Heban-Arsi districts, West Arsi Zone, Oromia Regional State, Ethiopia."
authorString,"Nuro G, Tolossa K, Giday M."
authorList,"{'author': [{'fullName': 'Nuro G', 'firstName': 'Geritu', 'lastName': 'Nuro', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Aklilu Lemma Institute of Pathobiology, Addis Ababa University, P.O. Box 1176, Addis Ababa, Ethiopia. geritun13@gmail.com.'}}}, {'fullName': 'Tolossa K', 'firstName': 'Ketema', 'lastName': 'Tolossa', 'initials': 'K', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Aklilu Lemma Institute of Pathobiology, Addis Ababa University, P.O. Box 1176, Addis Ababa, Ethiopia.'}}}, {'fullName': 'Giday M', 'firstName': 'Mirutse', 'lastName': 'Giday', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Aklilu Lemma Institute of Pathobiology, Addis Ababa University, P.O. Box 1176, Addis Ababa, Ethiopia.'}}}]}"
journalInfo,"{'issue': '1', 'volume': '20', 'journalIssueId': '3863274', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Journal of ethnobiology and ethnomedicine', 'ISOAbbreviation': 'J Ethnobiol Ethnomed', 'medlineAbbreviation': 'J Ethnobiol Ethnomed', 'NLMid': '101245794', 'ISSN': '1746-4269', 'ESSN': '1746-4269'}}"
pubYear,2024
pageInfo,105
abstractText,"<h4>Background</h4>Wild edible plants (WEPs) are neglected and have received little attention despite their significant contributions to the sustenance and livelihoods of rural communities. This study was conducted in the Kofale and Heban-Arsi districts of the Oromia Regional State, Ethiopia, to document the diversity, to assess the most preferred WEPs, their utilization, and threats they face.<h4>Methods</h4>The study was conducted in the Kofale and Heban-Arsi districts of the West Arsi Zone of the Oromia Regional State, Ethiopia. Data collection took place from February to September 2022 in Kofale and from November 2022 to April 2023 in Heban-Arsi district. To gather ethnobotanical information, the research employed semi-structured interviews, field observations, focus group discussions, and guided field walks. The interviews involved 290 informants who were selected via snowball sampling and systemic random sampling methods. Preference ranking values, direct matrix rankings, and use values (UVs) of documented species were computed.<h4>Results</h4>A total of 62 WEPs species belonging to 38 families and 56 genera were identified. The Moraceae family includes 7 species, followed by Fabaceae and Rubiaceae (each 4 species), and Lamiaceae (3 species). Shrub was the dominant growth form (32 species), followed by herbs (13 species). The largest number (24 species) of WEPs was collected from grazing lands/fields, followed by forest habitats (17 species). The most widely used edible plant part was fruit (40 species) and leaf (11 species). Most WEPs were collected for consumption from March to May (30 species), and the majority of the species (48, 77.4%) were utilized in their raw state. A large number of WEP (41 species) were consumed only during periods of food shortage, and the remaining (21 species) were used as staple food supplements. Multiple other uses of WEPs in the study area also reported. Fifty-two species mentioned for medicinal use, and the species that had the highest use value was Cordia africana Lam. (0.9). The direct matrix ranking results indicated that agricultural expansion was a principal threat to the WEPs in the study area.<h4>Conclusion</h4>This study indicated that WEPs are widely used during food shortages in the study area, but many WEP species are under threat due to growing pressure from various anthropogenic factors. Thus, public awareness and community-based management need to be encouraged at all levels to conserve and sustainably use these resources to address food insecurity."
affiliation,"Aklilu Lemma Institute of Pathobiology, Addis Ababa University, P.O. Box 1176, Addis Ababa, Ethiopia. geritun13@gmail.com."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'N', 'descriptorName': 'Humans'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Plants, Edible', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'CL', 'qualifierName': 'classification', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Ethnobotany'}, {'majorTopic_YN': 'N', 'descriptorName': 'Adult'}, {'majorTopic_YN': 'N', 'descriptorName': 'Aged'}, {'majorTopic_YN': 'N', 'descriptorName': 'Middle Aged'}, {'majorTopic_YN': 'N', 'descriptorName': 'Ethiopia'}, {'majorTopic_YN': 'N', 'descriptorName': 'Female'}, {'majorTopic_YN': 'N', 'descriptorName': 'Male'}, {'majorTopic_YN': 'N', 'descriptorName': 'Young Adult'}]}"
keywordList,"{'keyword': ['Indigenous knowledge', 'Food security', 'ethnobotany', 'Wild Edible Plants', 'Kofale And Heban-arsi Districts']}"
subsetList,"{'subset': {'code': 'IM', 'name': 'Index Medicus'}}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.1186/s13002-024-00744-2'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11657694'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11657694?pdf=render'}]}"
commentCorrectionList,"{'commentCorrection': {'id': 'PPR885839', 'source': 'PPR', 'type': 'Preprint in', 'note': 'CrossRef Pre-print loader', 'orderIn': '10002'}}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
