,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39870801
source,MED
pmid,39870801
pmcid,PMC11772576
fullTextIdList,{'fullTextId': 'PMC11772576'}
doi,10.1038/s41598-025-87727-9
title,Nano-biopesticide formulation comprising of silver nanoparticles anchored to Ocimum sanctum: a sustainable approach to pest control in jute farming.
authorString,"Ghosh A, Majumdar D, Biswas H, Chowdhury A, Podder S."
authorList,"{'author': [{'fullName': 'Ghosh A', 'firstName': 'Avirup', 'lastName': 'Ghosh', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Ecology and Allergology Lab, Department of Zoology, Golapbag Campus, The University of Burdwan, Burdwan, 713104, West Bengal, India.'}}}, {'fullName': 'Majumdar D', 'firstName': 'Dipanwita', 'lastName': 'Majumdar', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Chandernagore College, Hooghly, Chandannagar, 712136, West Bengal, India.'}}}, {'fullName': 'Biswas H', 'firstName': 'Himani', 'lastName': 'Biswas', 'initials': 'H', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Post Graduate Department of Zoology, Krishnagar Govt. College, Krishnagar, 741101, West Bengal, India.'}}}, {'fullName': 'Chowdhury A', 'firstName': 'Anupam', 'lastName': 'Chowdhury', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Physical Chemistry Section, Department of Chemistry, Jadavpur University, Kolkata, 700032, West Bengal, India.'}}}, {'fullName': 'Podder S', 'firstName': 'Sanjoy', 'lastName': 'Podder', 'initials': 'S', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-1316-164X'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Ecology and Allergology Lab, Department of Zoology, Golapbag Campus, The University of Burdwan, Burdwan, 713104, West Bengal, India. skpzoo2@rediffmail.com.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0003-1316-164X'}}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': '1', 'volume': '15', 'journalIssueId': '3878777', 'dateOfPublication': '2025 Jan', 'monthOfPublication': '1', 'yearOfPublication': '2025', 'printPublicationDate': '2025-01-01', 'journal': {'title': 'Scientific reports', 'ISOAbbreviation': 'Sci Rep', 'medlineAbbreviation': 'Sci Rep', 'NLMid': '101563288', 'ISSN': '2045-2322', 'ESSN': '2045-2322'}}"
pubYear,2025
pageInfo,3414
abstractText,"The jute hairy caterpillar, Spilosoma obliqua (Lepidoptera: Erebidae) is considered as one of the major threats to jute cultivation. The best eco-friendly methods to combat these jute pests involve administration of nano-biopesticides, as a successful alternative to the toxic chemicals. In this study, a nano-biopesticide formulation containing green synthesized silver nanoparticles (Ag NPs) using Ocimum sanctum leaf extract has been proposed. The characterization studies confirmed significant interactions between the Ag NPs and bioactive components in the nano-biopesticide formulation. The comparative analysis of the aforementioned larval mortality showed better responses in the nano-biopesticide formulation rather than the crude (pure) leaf extract. The LC<sub>50</sub> values were calculated both for the nano-biopesticide formulation and pure extract after 24, 48 and 72 h of treatment. The nano-biopesticide formulation was found to exhibit the lowest and much promising LC<sub>50</sub> value of 93.21 ppm, 23.38 ppm, 5.96 ppm relative to that of LC<sub>50</sub> values of 1590.74 ppm, 459.30 ppm, 102.68 ppm respectively for the crude leaf extract. The synergistic interactions between the components in the nano-biopesticide formulation can be associated with its greater effectiveness as a promising toxicant to the larvae of the jute caterpillar compared to the mere leaf extract, thereby, demonstrating a greener and safer method for effective pest management."
affiliation,"Ecology and Allergology Lab, Department of Zoology, Golapbag Campus, The University of Burdwan, Burdwan, 713104, West Bengal, India."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
