,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39910342
source,MED
pmid,39910342
pmcid,PMC11799428
fullTextIdList,{'fullTextId': 'PMC11799428'}
doi,10.1038/s41598-025-89026-9
title,"Effect of supplementation of phytoadditive mixtures on live weight, blood indices, hormonal profile and reproductive performance in Black Bengal goats."
authorString,"Singh AK, Bhakat C, Kisku U, Karunakaran M, Dutta TK."
authorList,"{'author': [{'fullName': 'Singh AK', 'firstName': 'Amit Kumar', 'lastName': 'Singh', 'initials': 'AK', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India. amitkumarsingh5496@gmail.com.'}, {'affiliation': 'Krishi Vigyan Kendra, Amihit, Jaunpur, India. amitkumarsingh5496@gmail.com.'}]}}, {'fullName': 'Bhakat C', 'firstName': 'Champak', 'lastName': 'Bhakat', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India.'}}}, {'fullName': 'Kisku U', 'firstName': 'Upali', 'lastName': 'Kisku', 'initials': 'U', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India.'}}}, {'fullName': 'Karunakaran M', 'firstName': 'Muthupalani', 'lastName': 'Karunakaran', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India.'}}}, {'fullName': 'Dutta TK', 'firstName': 'Tapas Kumar', 'lastName': 'Dutta', 'initials': 'TK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India.'}}}]}"
journalInfo,"{'issue': '1', 'volume': '15', 'journalIssueId': '3893908', 'dateOfPublication': '2025 Feb', 'monthOfPublication': '2', 'yearOfPublication': '2025', 'printPublicationDate': '2025-02-01', 'journal': {'title': 'Scientific reports', 'ISOAbbreviation': 'Sci Rep', 'medlineAbbreviation': 'Sci Rep', 'NLMid': '101563288', 'ISSN': '2045-2322', 'ESSN': '2045-2322'}}"
pubYear,2025
pageInfo,4442
abstractText,"The study was conducted to evaluate the effect of phytoadditive mixtures containing equal proportions of Curcuma longa & Allium sativum (PAM-1) and Curcuma longa & Ocimum sanctum (PAM-2) on live weight, blood parameters, hormonal profile and reproductive performance in Black Bengal goats. A total of 21 post weaned female kids of 3-4 months age and similar body weights maintained at Goat Research Unit of Eastern Regional Station (ERS), National Dairy Research Institute (NDRI), Kalyani, India during the year 2021-2022 were randomly distributed in three groups namely, Control, PAM-1 and PAM-2 for 10 months. Blood parameters i.e. glucose, urea, total protein, albumin, globulin, ALT, AST, ALP, total lipids, cholesterol, and Triglycerides, WBC, RBC, Hb and PCV %; NEFA levels and hormones i.e. prolactin, cortisol, T3 and T4 were estimated in all three experimental groups. Higher (P < 0.001) live weights were investigated in supplemented goats. Blood parameters including glucose, urea, total protein, albumin, globulin, ALT, AST, ALP, WBC, RBC, Hb and PCV% were similar (P > 0.05) in all groups. Lower (P < 0.001) blood lipids were found in supplemented groups. Higher Prolactin, T3 and T4 levels and lower Cortisol levels were reported in PAM-1 and PAM-2 groups (P < 0.001) than control group. Age at first estrus, first conception, first kidding and post kidding first estrus days were lower (P < 0.001) in supplemented groups. Therefore, it was concluded that supplementation of PAM-1 and PAM-2 improved reproductive performance, hormonal profile and lipid profile through improved live weights in Black Bengal goats."
affiliation,"ICAR- National Dairy Research Institute, Eastern Regional Station, Kalyani, India. amitkumarsingh5496@gmail.com."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'N', 'descriptorName': 'Animals'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Goats', 'meshQualifierList': {'meshQualifier': [{'abbreviation': 'BL', 'qualifierName': 'blood', 'majorTopic_YN': 'N'}, {'abbreviation': 'PH', 'qualifierName': 'physiology', 'majorTopic_YN': 'N'}]}}, {'majorTopic_YN': 'N', 'descriptorName': 'Curcuma', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Body Weight', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'DE', 'qualifierName': 'drug effects', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Hormones', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'BL', 'qualifierName': 'blood', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Reproduction', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'DE', 'qualifierName': 'drug effects', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Animal Feed', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'AN', 'qualifierName': 'analysis', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Dietary Supplements'}, {'majorTopic_YN': 'N', 'descriptorName': 'Female'}]}"
keywordList,"{'keyword': ['Allium sativum', 'Hormones', 'Reproduction', 'Blood indices', 'Goats', 'Ocimum Sanctum', 'Curcuma Longa', 'Body Growth', 'Additive Supplementation', 'Phytoadditive Feeding']}"
