,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39402574
source,MED
pmid,39402574
pmcid,PMC11475875
fullTextIdList,{'fullTextId': 'PMC11475875'}
doi,10.1186/s12917-024-04298-z
title,Isolation and characterization of Streptococcus agalactiae inducing mass mortalities in cultured Nile tilapia (Oreochromis niloticus) with trials for disease control using zinc oxide nanoparticles and ethanolic leaf extracts of some medicinal plants.
authorString,"Abdallah ESH, Metwally WGM, Bayoumi SALH, Abdel Rahman MAM, Mahmoud MM."
authorList,"{'author': [{'fullName': 'Abdallah ESH', 'firstName': 'Ebtsam Sayed Hassan', 'lastName': 'Abdallah', 'initials': 'ESH', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-8585-8123'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Aquatic Animal Medicine and Management, Faculty of Veterinary Medicine, Assiut University, Assiut, 71529, Egypt. ebtsamsayed@aun.edu.eg.'}}}, {'fullName': 'Metwally WGM', 'firstName': 'Walaa Gomaa Mohamed', 'lastName': 'Metwally', 'initials': 'WGM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Poultry and Fish Diseases Department, Faculty of Veterinary Medicine, Minia University, Minia, 61519, Egypt.'}}}, {'fullName': 'Bayoumi SALH', 'firstName': 'Soad Abdel Latief Hassan', 'lastName': 'Bayoumi', 'initials': 'SALH', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Pharmacognosy Department, Faculty of Pharmacy, Assiut University, Assiut, 71526, Egypt.'}}}, {'fullName': 'Abdel Rahman MAM', 'firstName': 'Moataz Ahmed Mohamed', 'lastName': 'Abdel Rahman', 'initials': 'MAM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Behavior and Management of Animal Wealth, Faculty of Veterinary Medicine, Minia University, Minia, 61519, Egypt.'}}}, {'fullName': 'Mahmoud MM', 'firstName': 'Mahmoud Mostafa', 'lastName': 'Mahmoud', 'initials': 'MM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Aquatic Animal Medicine and Management, Faculty of Veterinary Medicine, Assiut University, Assiut, 71529, Egypt.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0002-8585-8123'}}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': '1', 'volume': '20', 'journalIssueId': '3834359', 'dateOfPublication': '2024 Oct', 'monthOfPublication': '10', 'yearOfPublication': '2024', 'printPublicationDate': '2024-10-01', 'journal': {'title': 'BMC veterinary research', 'ISOAbbreviation': 'BMC Vet Res', 'medlineAbbreviation': 'BMC Vet Res', 'NLMid': '101249759', 'ISSN': '1746-6148', 'ESSN': '1746-6148'}}"
pubYear,2024
pageInfo,468
abstractText,"<h4>Background</h4>Streptococcus agalactiae (Group B streptococcus, GBS) induces a serious infection that can harm not only aquatic life but also humans and other animals. In a fish farm in southern Egypt, Nile tilapia (Oreochromis niloticus) has developed an epidemic with clinical symptoms resembling piscine streptococcosis.<h4>Results</h4>Initial microscopic inspection of the affected fish brain and kidney indicated the presence of Gram-positive cocci. S. agalactiae was effectively isolated and identified using nucleotide homology of the 16S rRNA and species-specific PCR. The partial 16S rRNA sequence was deposited in the GenBank database at the NCBI and given the accession number MW599202. Genotyping using RAPD analysis indicated that the isolates in the present study belonged to the same genotypes and had the same origin. The challenge test, via immersion (9.2 × 10<sup>7</sup>, 9.2 × 10<sup>6</sup>, and 9.2 × 10<sup>5</sup> CFU/ml for 1 h) or intraperitoneal injection (4.6 × 10<sup>7</sup>, 4.6 × 10<sup>6</sup>, and 4.6 × 10<sup>5</sup> CFU/fish), elicited clinical symptoms resembling those of naturally infected fish with a mortality rate as high as 80%. The ability to create a biofilm as one of the pathogen virulence factors was verified. Zinc oxide nanoparticles and the ethanolic leaf extracts of nine medicinal plants demonstrated considerable antibacterial activities against the tested S. agalactiae strain with low minimum bactericidal concentrations (MBC) and minimum inhibitory concentrations (MIC). The ethanolic leaf extracts from Lantana camara and Aberia caffra showed potent antibacterial activity with MBC values of 0.24 and 0.485 mg/ml, and MIC values of 0.12 & 0.24 mg/ml, respectively.<h4>Conclusion</h4>This study isolated S. agalactiae from O. niloticus mortalities in a fish farm in Assiut, Egypt. The pathogen persists in fish environments and can escape through biofilm formation, suggesting it cannot be easily eliminated. However, promising findings were obtained with in vitro control employing zinc oxide nanoparticles and medicinal plant extracts. Nevertheless further in vivo research is needed."
affiliation,"Department of Aquatic Animal Medicine and Management, Faculty of Veterinary Medicine, Assiut University, Assiut, 71529, Egypt. ebtsamsayed@aun.edu.eg."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': {'agency': 'Assiut University', 'orderIn': '0'}}"
